n,tcoat_mm,eta_T,eta_sig
0,0.25,0,0
0,0.45,0,0
0,0.65,0,0
0,0.85,0,0
0,1.05,0,0
0,1.25,0,0
1,0.25,0.0929236423048791,0.140581212462787
1,0.45,0.151421447570954,0.579423796945892
1,0.65,0.203647223019832,0.767459437194121
1,0.85,0.246251645438793,0.816175235747759
1,1.05,0.284721288616795,0.683454833631762
1,1.25,0.315221297853738,0.62320523768696
2,0.25,0.071611397618955,0.29786774467573
2,0.45,0.116150034587754,0.624262810912802
2,0.65,0.156710462632095,0.631186097951394
2,0.85,0.189212344151778,0.508159895891164
2,1.05,0.219051990356757,0.324883684419797
2,1.25,0.241690237187699,0.295187175104429
3,0.25,0.0574881043793445,0.302533453436451
3,0.45,0.0927558042558333,0.586112197739752
3,0.65,0.125506002250077,0.489420258586407
3,0.85,0.15119477824002,0.373754191100651
3,1.05,0.175171686800501,0.182779084045464
3,1.25,0.192440332725911,0.202795726896818
4,0.25,0.0478823848910056,0.286713829347881
4,0.45,0.0768220645195784,0.529842020505742
4,0.65,0.104224231916096,0.413099431268952
4,0.85,0.125233645646759,0.29965246300257
4,1.05,0.145173960844023,0.127491183771566
4,1.25,0.158750282708407,0.185952418865776
5,0.25,0.0410080725595237,0.26770714362984
5,0.45,0.0654119853301231,0.480940222769438
5,0.65,0.0889759300228142,0.367420441158543
5,0.85,0.106623625829119,0.262182837422578
5,1.05,0.123665208964459,0.112928293724313
5,1.25,0.134609663988273,0.186203774959707
